adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,runtime
False,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,"['Drama', 'Crime']",278,en,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",170.454,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994-09-23,The Shawshank Redemption,False,8.706,26491,
False,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,"['Drama', 'Crime']",238,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",153.375,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,The Godfather,False,8.692,20109,
False,/b6w7gKLQLS2zw4JK0XmKgQ4gnzr.jpg,"['Drama', 'Crime']",240,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",118.44,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1974-12-20,The Godfather Part II,False,8.576,12133,
False,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,"['Drama', 'History', 'War']",424,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,141.482,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993-12-15,Schindler's List,False,8.566,15540,
False,/qqHQsStV6exghCM7zbObuYBiYxw.jpg,['Drama'],389,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",64.066,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,1957-04-10,12 Angry Men,False,8.545,8386,
False,/m4TUa2ciEWSlk37rOsjiSIvZDXE.jpg,"['Animation', 'Family', 'Fantasy']",129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",145.756,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-04-18,Spirited Away,False,8.536,16138,
False,/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,"['Comedy', 'Drama', 'Romance']",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",54.892,/lfRkUr7DYdHldAqi3PwdQGBRBPM.jpg,1995-10-20,Dilwale Dulhania Le Jayenge,False,8.536,4406,
False,/dqK9Hag1054tghRQSqLSfrkvQnA.jpg,"['Drama', 'Action', 'Crime', 'Thriller']",155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",167.287,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-16,The Dark Knight,False,8.516,32241,
False,/8eihUxjQsJ7WvGySkVMC0EwbPAD.jpg,"['Comedy', 'Thriller', 'Drama']",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",130.198,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,False,8.509,17790,
False,/vxJ08SvwomfKbpboCWynC3uqUg4.jpg,"['Fantasy', 'Drama', 'Crime']",497,en,The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",105.412,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999-12-10,The Green Mile,False,8.506,17014,
False,/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg,"['Animation', 'Romance', 'Drama']",372058,ja,君の名は。,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",138.95,/q719jXXEzOoYaps6babgKnONONX.jpg,2016-08-26,Your Name.,False,8.489,11121,
False,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,"['Thriller', 'Crime']",680,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",117.332,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,1994-09-10,Pulp Fiction,False,8.487,27400,
False,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,"['Adventure', 'Fantasy', 'Action']",122,en,The Lord of the Rings: The Return of the King,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",156.309,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-01,The Lord of the Rings: The Return of the King,False,8.482,23652,
False,/ghgfzbEV7kbpbi1O8eIILKVXEA8.jpg,"['Comedy', 'Drama', 'Romance']",13,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",114.31,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,1994-06-23,Forrest Gump,False,8.475,26904,
False,/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg,['Western'],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",109.076,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,1966-12-22,"The Good, the Bad and the Ugly",False,8.465,8387,
False,/d6UxFCGQxpszcf8mwgGjQ3ynqGl.jpg,"['Drama', 'Crime']",769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",85.602,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,1990-09-12,GoodFellas,False,8.5,12563,
False,/fzkLKtZCkYSDzxoqntE5KgIqvzk.jpg,"['Adventure', 'History', 'Action', 'Drama', 'Romance', 'Thriller']",1084736,fr,Le Comte de Monte-Cristo,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",70.761,/aHRUsFln97FlIdsvYKFT3z5ubYE.jpg,2024-06-28,The Count of Monte-Cristo,False,8.5,318,
False,/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg,"['Family', 'Drama']",667257,es,Cosas imposibles,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",21.727,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,2021-06-17,Impossible Things,False,8.458,380,
False,/qvZ91FwMq6O47VViAr8vZNQz3WI.jpg,"['Action', 'Drama']",346,ja,七人の侍,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",60.146,/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg,1954-04-26,Seven Samurai,False,8.459,3563,
False,/gwj4R8Uy1GwejKqfofREKI9Jh7L.jpg,"['Animation', 'Drama', 'War']",12477,ja,火垂るの墓,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.049,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,1988-04-16,Grave of the Fireflies,False,8.457,5327,
False,/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg,"['Drama', 'Romance']",11216,it,Nuovo Cinema Paradiso,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",53.246,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,1988-11-17,Cinema Paradiso,False,8.451,4246,
False,/gavyCu1UaTaTNPsVaGXT6pe5u24.jpg,"['Comedy', 'Drama']",637,it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,75.809,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,1997-12-20,Life Is Beautiful,False,8.451,12817,
False,/3RMLbSEXOn1CzLoNT7xFeLfdxhq.jpg,"['Romance', 'Animation']",372754,ja,同級生,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",23.189,/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,2016-02-20,Dou kyu sei – Classmates,False,8.446,369,
False,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,['Drama'],550,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",139.251,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999-10-15,Fight Club,False,8.44,28835,
False,/xJHokMbljvjADYdit5fK5VQsXEG.jpg,"['Adventure', 'Drama', 'Science Fiction']",157336,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,185.656,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014-11-05,Interstellar,False,8.438,34769,
False,/gutU32BiBxJvJdzLv5RWC9hQhNh.jpg,['Drama'],1058694,en,Radical,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",48.181,/eSatbygYZp8ooprBHZdb6GFZxGB.jpg,2023-10-19,Radical,False,8.433,382,
False,/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg,"['Horror', 'Thriller', 'Mystery']",539,en,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",73.929,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,1960-06-22,Psycho,False,8.433,9830,
False,/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg,"['Drama', 'Crime']",598,pt,Cidade de Deus,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",59.615,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,2002-08-30,City of God,False,8.429,7171,
False,/6Oa3zTiluBz2W8D2ou1MY16dUiF.jpg,['Drama'],510,en,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",64.58,/biejlC9yx8W66KHrD5tp9YiSqmV.jpg,1975-11-19,One Flew Over the Cuckoo's Nest,False,8.421,10221,
False,/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg,"['Romance', 'Drama']",696374,en,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",25.689,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,2020-05-29,Gabriel's Inferno,False,8.418,2403,
False,/uPYa165sraN2c8gZBM9C47g3JoU.jpg,"['Drama', 'Crime']",311,en,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",76.314,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,1984-05-23,Once Upon a Time in America,False,8.417,5234,
False,/uBZQOYZLIU9dBmd62fdzBAoropu.jpg,"['Action', 'Adventure', 'Animation', 'Drama']",704264,en,Primal: Tales of Savagery,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",16.895,/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg,2019-11-21,Primal: Tales of Savagery,False,8.416,308,
False,/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg,"['Adventure', 'Fantasy', 'Action']",120,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",201.786,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,False,8.414,24595,
False,/xqaN2WYQclQlqvKvsOcNgOx2vRn.jpg,"['Fantasy', 'Animation', 'Adventure']",4935,ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",164.331,/6pZgH10jhpToPcf0uvyTCPFhWpI.jpg,2004-09-09,Howl's Moving Castle,False,8.406,9599,
False,/wVJG3u5Ru9tInxYiTCrJr4MpJ7Z.jpg,['Music'],1160164,en,TAYLOR SWIFT | THE ERAS TOUR,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",107.995,/jf3YO8hOqGHCupsREf5qymYq1n.jpg,2023-10-13,TAYLOR SWIFT | THE ERAS TOUR,False,8.4,358,
False,/qGQf2OHIkoh89K8XeKQzhxczf96.jpg,"['Animation', 'Action', 'Adventure', 'Science Fiction']",324857,en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",132.197,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,Spider-Man: Into the Spider-Verse,False,8.402,15230,
False,/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg,"['Romance', 'Drama']",724089,en,Gabriel's Inferno: Part II,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",15.41,/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg,2020-07-31,Gabriel's Inferno: Part II,False,8.399,1508,
False,/ySaK6hpbCc2OE13ac7ovhgWwR5u.jpg,['Music'],568332,en,Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",25.835,/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg,2018-12-31,Taylor Swift: Reputation Stadium Tour,False,8.399,371,
False,/l5K9elugftlcyIHHm4nylvsn26X.jpg,['Drama'],255709,ko,소원,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",32.534,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,2013-10-02,Hope,False,8.395,711,
False,/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg,"['Comedy', 'Drama', 'Fantasy']",40096,pt,O Auto da Compadecida,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",16.557,/imcOp1kJsCsAFCoOtY5OnPrFbAf.jpg,2000-09-15,A Dog's Will,False,8.397,1073,
False,/l5K9elugftlcyIHHm4nylvsn26X.jpg,['Drama'],255709,ko,소원,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",32.534,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,2013-10-02,Hope,False,8.395,711,
False,/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg,"['Adventure', 'Action', 'Science Fiction']",1891,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",61.952,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,1980-05-20,The Empire Strikes Back,False,8.391,16629,
False,/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg,"['Action', 'Drama', 'History']",14537,ja,切腹,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",34.209,/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,1962-09-15,Harakiri,False,8.39,952,
False,/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg,"['Animation', 'Fantasy', 'Action']",620249,zh,罗小黑战记,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",31.486,/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg,2019-08-27,The Legend of Hei,False,8.384,350,
False,/dVr11o9or7AS8AMPfwjSpEU83iU.jpg,"['Drama', 'War']",423,en,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",74.868,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,2002-09-17,The Pianist,False,8.384,8973,
False,/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg,"['Romance', 'Drama']",761053,en,Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,40.543,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg,2020-11-19,Gabriel's Inferno: Part III,False,8.382,1049,
False,/vNXGrknx4GjWLgmuNTftWZluIUl.jpg,"['Drama', 'Music']",244786,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",124.042,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,2014-10-10,Whiplash,False,8.382,14776,
False,/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg,"['Animation', 'Drama']",378064,ja,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",70.361,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,2016-09-17,A Silent Voice: The Movie,False,8.376,3847,
False,/dYjZ27hDw2QFaEIfzbNGwW0IkV9.jpg,"['Crime', 'Mystery', 'Thriller']",807,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",184.234,/6yoghtyTpznpBik8EngEmJskVUO.jpg,1995-09-22,Se7en,False,8.375,20593,
False,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,"['Action', 'Science Fiction', 'Adventure']",27205,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",157.968,/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg,2010-07-15,Inception,False,8.369,36031,
False,/8aEe01VfGtYG2dFy9V5MqyyNPlh.jpg,"['Thriller', 'Mystery']",567,en,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,70.01,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,1954-08-01,Rear Window,False,8.354,6329,
False,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,"['Animation', 'Action', 'Adventure', 'Science Fiction']",569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",242.859,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,False,8.353,6545,
False,/aViJxMtIxoL3IkHCauYmFv0oCXh.jpg,"['Crime', 'Drama', 'Thriller']",274,en,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",22.236,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1991-02-14,The Silence of the Lambs,False,8.349,15929,
False,/6qHI1IYj7QlLSCwHRzkL62X175s.jpg,['Drama'],73,en,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",51.553,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,1998-07-01,American History X,False,8.347,11331,
False,/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,"['Adventure', 'Fantasy', 'Animation']",128,ja,もののけ姫,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",96.989,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,1997-07-12,Princess Mononoke,False,8.339,7789,
False,/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg,"['Romance', 'Animation', 'Fantasy']",92321,ja,蛍火の杜へ,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.038,/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,2011-09-17,Hotarubi no Mori e,False,8.322,1086,
False,/gSCT6oP2Sbm71naW28Lh7afcMgY.jpg,"['Drama', 'Crime', 'Mystery']",12493,ja,天国と地獄,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his servants son is kidnapped",33.793,/tgNjemQPG96uIezpiUiXFcer5ga.jpg,1963-03-01,High and Low,False,8.32,859,
False,/c8Pi8F1FzpNebtgXcSjC9nWCdSW.jpg,"['Comedy', 'War']",914,en,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,82.247,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,1940-10-15,The Great Dictator,False,8.32,3271,
False,/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg,"['Drama', 'Comedy']",644479,es,Dedicada A Mi Ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",15.569,/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,2019-11-01,Dedicated to my ex,False,8.319,497,
False,/hxSB02ksqnkXY4hPGAXqgO2fL01.jpg,"['Adventure', 'Comedy', 'Science Fiction']",105,en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",122.919,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,1985-07-03,Back to the Future,False,8.318,19511,
False,/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg,['Drama'],599,en,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,40.044,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg,1950-08-10,Sunset Boulevard,False,8.315,2503,
False,/xLMJCCSatxENpHO9rLW9yD8A12C.jpg,"['Animation', 'Science Fiction', 'Action', 'Drama']",18491,ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"Seele orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can trigger Third Impact and Instrumentality under his control.",89.539,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,False,8.314,1524,
